,close,high,low,open,time,volumefrom,volumeto
1,11578.26,11596.28,11486.18,11538.28,1520218800,3664.68,42396705.8
2,11538.28,11538.69,11474.25,11480.68,1520215200,2774.88,31959684.94
3,11480.39,11484.15,11434.35,11480.71,1520211600,2135.86,24597762.27
4,11480.28,11519.34,11432.76,11503.94,1520208000,2808.32,32248067.11
5,11504.42,11539.79,11417.34,11417.53,1520204400,4044.5,46545746.62
6,11417.54,11455.18,11378.64,11439.24,1520200800,3372.14,38505406.03
7,11439.24,11522.76,11415.85,11482.72,1520197200,2835.5,32561838.13
8,11483.04,11490.88,11385.33,11385.42,1520193600,3726.7,42791556.58
9,11384.55,11423.32,11366.38,11367.22,1520190000,3893.43,44467982.26
10,11367.22,11377.83,11136.6,11144.49,1520186400,5365.43,60723073.1
11,11145.36,11172.93,11144.27,11164.35,1520182800,1058.93,11851691.05
12,11164.35,11189.77,11132.3,11156.59,1520179200,1473.67,16522099.26
13,11156.59,11157.9,11110.76,11150.68,1520175600,1660.59,18572224.07
14,11150.34,11214.45,11137.43,11208.9,1520172000,1651.0,18504067.99
15,11208.9,11254.45,11174.48,11229.89,1520168400,2305.58,25882240.33
16,11229.65,11240.08,11160.9,11166.02,1520164800,3448.29,38670447.71
17,11165.59,11198.3,11110.48,11162.14,1520161200,1548.91,17343150.98
18,11161.74,11255.47,11134.38,11254.3,1520157600,2427.65,27203659.29
19,11254.3,11270.62,11206.51,11242.06,1520154000,1613.73,18222465.0
20,11242.22,11243.91,11148.31,11166.81,1520150400,1959.19,22006657.3
21,11167.8,11169.62,11084.01,11139.19,1520146800,2988.58,33349245.63
22,11139.06,11230.03,11136.06,11228.31,1520143200,1819.21,20430975.0
23,11226.08,11251.91,11178.66,11229.16,1520139600,1432.35,16124201.42
24,11228.23,11249.67,11141.97,11198.27,1520136000,2627.66,29555323.11
25,11198.27,11348.88,11165.14,11347.75,1520132400,4371.28,49233170.27
26,11347.32,11411.89,11305.19,11407.89,1520128800,2149.92,24461529.76
27,11409.0,11424.17,11375.03,11375.03,1520125200,1407.93,16157534.39
28,11375.03,11469.27,11373.83,11465.36,1520121600,1834.21,21041050.29
29,11465.36,11479.81,11396.8,11408.81,1520118000,2517.57,28856308.22
30,11408.76,11423.19,11311.44,11316.72,1520114400,2351.68,26800443.77
31,11315.91,11368.99,11289.81,11326.17,1520110800,2648.3,30129552.45
32,11326.17,11495.96,11279.71,11488.77,1520107200,5712.68,65018191.86
33,11488.31,11509.66,11474.33,11494.78,1520103600,1749.06,20210897.01
34,11494.74,11526.65,11468.23,11523.2,1520100000,1671.12,19287166.3
35,11523.2,11530.66,11437.26,11478.17,1520096400,3249.76,37461196.45
36,11478.17,11496.07,11455.5,11477.0,1520092800,1820.9,20993681.86
37,11477.0,11500.96,11413.17,11434.96,1520089200,2949.46,33853299.98
38,11434.96,11484.47,11405.08,11461.47,1520085600,3027.36,34705262.7
39,11461.71,11485.21,11400.77,11418.82,1520082000,3474.52,39890965.41
40,11418.56,11440.25,11290.31,11291.39,1520078400,2898.75,33133094.96
41,11292.24,11352.12,11284.33,11330.62,1520074800,2313.42,26295424.43
42,11330.62,11352.94,11324.04,11340.51,1520071200,1713.4,19488325.6
43,11340.39,11371.56,11300.06,11359.8,1520067600,1621.99,18463722.03
44,11359.41,11365.16,11267.4,11322.49,1520064000,2412.62,27409394.72
45,11322.4,11396.22,11313.59,11350.8,1520060400,2471.34,28234036.96
46,11350.84,11410.5,11338.99,11345.05,1520056800,3956.32,45140639.21
47,11344.65,11386.3,11310.95,11377.9,1520053200,2807.76,31928237.21
48,11378.53,11402.2,11325.6,11327.09,1520049600,3170.01,36102617.74
49,11327.09,11356.06,11272.72,11329.89,1520046000,3046.03,34604018.99
50,11329.89,11372.17,11210.4,11235.34,1520042400,6199.06,70243575.04
51,11235.0,11255.94,11101.28,11101.34,1520038800,5454.15,61223568.87
52,11101.36,11115.98,11043.12,11043.12,1520035200,2042.12,22726504.44
53,11043.12,11138.88,10977.63,11127.77,1520031600,3309.8,36658394.08
54,11128.51,11129.35,11042.0,11050.84,1520028000,2166.29,24074086.53
55,11050.84,11090.17,11013.53,11076.1,1520024400,3121.74,34585052.99
56,11076.19,11104.41,10910.98,10936.44,1520020800,4556.94,50357741.86
57,10936.23,10948.23,10882.84,10938.37,1520017200,1894.73,20731925.08
58,10938.09,10961.74,10879.31,10916.69,1520013600,2513.07,27565496.78
59,10916.69,10923.74,10858.57,10871.81,1520010000,2157.07,23567751.47
60,10871.42,10891.27,10809.33,10867.49,1520006400,2848.35,31013014.54
61,10867.41,10874.18,10808.85,10808.85,1520002800,1987.12,21666781.51
62,10808.85,10989.84,10801.45,10984.68,1519999200,5171.11,56284367.53
63,10984.58,11059.37,10966.03,11025.3,1519995600,2774.57,30663943.48
