,close,high,low,open,time,volumefrom,volumeto
1,11513.76,11523.56,11513.55,11522.91,1520218020,99.4,1142729.05
2,11522.44,11526.79,11522.44,11526.79,1520217960,36.48,420428.52
3,11526.79,11530.34,11526.77,11527.09,1520217900,87.55,1009687.2
4,11527.09,11529.46,11526.33,11529.2,1520217840,109.72,1264631.41
5,11529.22,11529.22,11521.3,11521.3,1520217780,222.04,2555000.41
6,11521.3,11521.3,11518.74,11519.33,1520217720,93.73,1080755.63
7,11519.32,11520.0,11512.36,11513.76,1520217660,88.74,1022557.69
8,11513.76,11513.76,11509.9,11512.21,1520217600,48.36,557933.19
9,11512.21,11514.5,11508.31,11509.55,1520217540,254.88,2933355.32
10,11509.58,11509.58,11497.71,11497.71,1520217480,205.59,2364997.03
11,11498.06,11498.53,11490.36,11490.36,1520217420,121.82,1398679.28
12,11491.58,11491.58,11488.66,11489.26,1520217360,34.07,391449.79
13,11489.26,11489.9,11487.62,11488.26,1520217300,27.59,317566.36
14,11488.78,11488.8,11486.92,11488.25,1520217240,11.0,126482.33
15,11488.25,11489.07,11486.64,11486.64,1520217180,10.45,121223.53
16,11485.3,11487.5,11485.3,11486.11,1520217120,20.56,236252.48
17,11485.93,11487.12,11484.1,11484.88,1520217060,20.75,238847.66
18,11484.94,11485.49,11482.9,11484.0,1520217000,51.67,592107.63
19,11484.03,11484.03,11478.03,11480.07,1520216940,17.07,196492.54
20,11479.71,11481.13,11478.87,11480.55,1520216880,28.46,326741.82
21,11480.63,11481.52,11479.26,11480.85,1520216820,7.22,83052.43
22,11480.79,11481.77,11480.68,11481.7,1520216760,13.04,149834.92
23,11481.83,11482.05,11481.05,11482.05,1520216700,10.56,121580.08
24,11481.81,11482.56,11481.71,11482.39,1520216640,7.89,90933.99
25,11482.39,11483.14,11481.2,11483.14,1520216580,20.38,234028.87
26,11483.09,11486.5,11482.25,11483.77,1520216520,17.78,204568.53
27,11483.77,11484.67,11482.69,11483.4,1520216460,12.84,148263.26
28,11482.98,11484.77,11482.51,11484.42,1520216400,10.3,118495.33
29,11483.89,11485.27,11482.62,11483.29,1520216340,9.11,104820.66
30,11483.29,11483.63,11480.44,11481.64,1520216280,33.38,383318.34
31,11481.58,11483.42,11481.26,11483.42,1520216220,22.41,257653.43
32,11482.89,11491.88,11482.43,11490.97,1520216160,65.48,751747.42
33,11490.97,11491.15,11490.29,11490.39,1520216100,18.07,207641.02
34,11490.39,11490.39,11488.87,11489.14,1520216040,38.01,436567.09
35,11489.25,11490.01,11487.57,11488.29,1520215980,34.76,399658.79
36,11488.1,11488.37,11483.19,11483.46,1520215920,75.83,870958.48
37,11484.03,11484.17,11481.21,11482.61,1520215860,48.62,557499.33
38,11482.77,11483.38,11480.52,11480.52,1520215800,11.3,130716.42
39,11479.88,11482.52,11479.5,11482.52,1520215740,6.7,77126.75
40,11479.97,11484.02,11479.5,11480.07,1520215680,16.91,194018.51
41,11480.97,11483.48,11478.6,11478.92,1520215620,25.39,291417.22
42,11482.12,11482.12,11478.9,11479.76,1520215560,40.89,471031.26
43,11479.76,11480.18,11475.4,11475.94,1520215500,7.82,90034.29
44,11475.94,11478.92,11474.25,11474.89,1520215440,10.0,115455.38
45,11474.65,11481.09,11474.65,11480.64,1520215380,9.36,108370.91
46,11480.64,11482.7,11480.05,11482.32,1520215320,11.6,133796.08
47,11482.32,11484.82,11481.84,11484.1,1520215260,23.79,273350.11
48,11484.11,11484.55,11480.21,11480.68,1520215200,30.68,351515.7
49,11480.39,11481.5,11474.37,11478.14,1520215140,16.39,191129.33
50,11474.37,11480.39,11474.37,11474.94,1520215080,53.49,614959.3
51,11474.94,11475.02,11464.72,11465.33,1520215020,114.91,1318337.45
52,11465.27,11469.09,11461.17,11461.17,1520214960,36.74,421075.13
53,11461.17,11461.91,11457.53,11460.01,1520214900,11.32,130422.23
